시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일
깔끄막 희컨집,반려동물업,반려동반여행,펜션,인천광역시,강화군,강화읍,국화리,458-2 번지,국화길,130 번,37.74469291,126.461029,23028.0,인천광역시 강화군 강화읍 국화길 130,인천광역시 강화군 강화읍 국화리 458-2,032-933-0988,정보없음,연중무휴,매일 15:00~11:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
깜포펜션,반려동물업,반려동반여행,펜션,강원도,평창군,용평면,속사리,745 번지,운두령로,109-49 번,37.64672294,128.487006,25312.0,강원도 평창군 용평면 운두령로 109-49,강원도 평창군 용평면 속사리 745,033-334-0770,http://www.naturalpension.com,연중무휴,매일 15:00~11:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
꼬로몽 애견펜션,반려동물업,반려동반여행,펜션,강원도,양양군,서면,논화리,16 번지,원당골길,111 번,38.06913597,128.567674,25035.0,강원도 양양군 서면 원당골길 111,강원도 양양군 서면 논화리 16,,http://kkoromong.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,13kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 노키즈존, 사전문의 필수",없음,2022-11-30
꼰띠고 애견펜션,반려동물업,반려동반여행,펜션,충청남도,태안군,안면읍,정당리,1130-49 번지,붓드기길,76 번,36.55681874,126.339068,32162.0,충청남도 태안군 안면읍 붓드기길 76,충청남도 태안군 안면읍 정당리 1130-49,,http://contigodog.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 이하,제한사항 없음,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
꼴 게스트하우스,반려동물업,반려동반여행,펜션,전라북도,전주시 완산구,풍남동,,38-3 번지,은행로,21 번,35.81809089,127.152021,55040.0,전라북도 전주시 완산구 은행로 21,전라북도 전주시 완산구 풍남동2가 38-3,0502-1484-8560,http://www.ggol.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,"마킹, 스크래치, 짖음 심한 경우 사전문의 필수",Y,Y,애견 동반 펜션,"10,000원",2022-11-30
꽃과썸타다,반려동물업,반려동반여행,여행지,제주특별자치도,서귀포시,안덕면,동광리,950-3 번지,동광로,151 번,33.30973501,126.340157,63523.0,제주특별자치도 서귀포시 안덕면 동광로 151,제주특별자치도 서귀포시 안덕면 동광리 950-3,064-792-1165,https://flowersomething.modoo.at/,매주 월요일,화~일 11:00~20:00,Y,1000원,Y,해당없음,모두 가능,제한사항 없음,N,Y,관광지,없음,2022-11-30
꽃재공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,가경동,,1505 번지,장구봉로42번길,42 번,36.61999515,127.439059,28406.0,충청북도 청주시 흥덕구 장구봉로42번길 42,충청북도 청주시 흥덕구 가경동 1505,043-201-4433,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
꽃지해송펜션,반려동물업,반려동반여행,펜션,충청남도,태안군,안면읍,승언리,173-5 번지,꽃지2길,35-9 번,36.49294838,126.337958,32166.0,충청남도 태안군 안면읍 꽃지2길 35-9,충청남도 태안군 안면읍 승언리 173-5,0507-1358-1311,https://kkotjihaesongpension.modoo.at/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,객실당 최대 2마리,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
꽃지해수욕장,반려동물업,반려동반여행,여행지,충청남도,태안군,,승언리,,,,36.50516785,126.362764,,,충청남도 태안군 안면읍 승언리,041-673-1061,http://www.taean.go.kr/tour.do,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
꿈꾸는 다도해,반려동물업,반려동반여행,펜션,경상남도,거제시,동부면,가배리,15 번지,덕원길,75 번,34.77896356,128.575209,53330.0,경상남도 거제시 동부면 덕원길 75,경상남도 거제시 동부면 가배리 15,0507-1318-9112,https://dreamindadohae.modoo.at/,연중무휴,매일 15:00~11:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
꿈꾸는다락방,반려동물업,반려동반여행,펜션,충청남도,태안군,안면읍,창기리,628 번지,해안관광로,730-3 번,36.56342075,126.325688,32162.0,충청남도 태안군 안면읍 해안관광로 730-3,충청남도 태안군 안면읍 창기리 628,,http://xn--vv0b5a47nfj99qbxh.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,9kg 이하,객실당 최대 4마리,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
나곡해수욕장,반려동물업,반려동반여행,여행지,경상북도,울진군,,나곡리,,,,37.12892098,129.362487,,,경상북도 울진군 북면 나곡리,054-782-1501,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
나들목가족공원,반려동물업,반려동반여행,여행지,전라북도,전주시 덕진구,용정동,,469-15 번지,,,35.87627198,127.055532,54806.0,,전라북도 전주시 덕진구 용정동 469-15,063-222-1000,https://deokjingu.jeonju.go.kr/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
나래공원,반려동물업,반려동반여행,여행지,충청남도,부여군,부여읍,군수리,518-12 번지,,,36.25971065,126.903951,33169.0,,충청남도 부여군 부여읍 군수리 518-12,041-835-5509,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
나로우주해수욕장,반려동물업,반려동반여행,여행지,전라남도,고흥군,봉래면,신금리,724-1 번지,신금길,30-23 번,34.46765282,127.46858,59569.0,전라남도 고흥군 봉래면 신금길 30-23,전라남도 고흥군 봉래면 신금리 724-1,061-830-5608,정보없음,연중무휴,매일 10:00~18:00,Y,없음,Y,해당없음,소형/대형,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
나불도유원지,반려동물업,반려동반여행,여행지,전라남도,영암군,삼호읍,나불리,289-8 번지,나불외도로,165-1 번,34.78664393,126.46347,58447.0,전라남도 영암군 삼호읍 나불외도로 165-1,전라남도 영암군 삼호읍 나불리 289-8,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
나비스호텔,반려동물업,반려동반여행,펜션,제주특별자치도,제주시,애월읍,하귀2리,2749-3 번지,애월해안로,885 번,33.48646199,126.391537,63050.0,제주특별자치도 제주시 애월읍 애월해안로 885,제주특별자치도 제주시 애월읍 하귀2리 2749-3,064-712-5200,정보없음,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형/중형,제한사항 없음,Y,Y,애견 동반 펜션,없음,2022-11-30
나정고운모래해변,반려동물업,반려동반여행,여행지,경상북도,경주시,감포읍,나정리,25-4 번지,동해안로,1969 번,35.78321153,129.489517,38123.0,경상북도 경주시 감포읍 동해안로 1969,경상북도 경주시 감포읍 나정리 25-4,,정보없음,연중무휴,매일 09:00~19:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
낙동강체육공원,반려동물업,반려동반여행,여행지,경상북도,구미시,양호동,,614-1 번지,낙동제방길,200 번,36.13113322,128.368069,39193.0,경상북도 구미시 낙동제방길 200,경상북도 구미시 양호동 614-1,054-458-2124,낙동강체육공원 (gumisports.or.kr),연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
낙산해수욕장,반려동물업,반려동반여행,여행지,강원도,양양군,강현면,주청리,1-1 번지,해맞이길,59 번,38.11692058,128.633882,25009.0,강원도 양양군 강현면 해맞이길 59,강원도 양양군 강현면 주청리 1-1,033-670-2518,http://naksan-beach.co.kr/,연중무휴,매일 06:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
낙안읍성민속마을,반려동물업,반려동반여행,여행지,전라남도,순천시,낙안면,동내리,438-1 번지,충민길,30 번,34.90640107,127.341823,57918.0,전라남도 순천시 낙안면 충민길 30,전라남도 순천시 낙안면 동내리 438-1,061-749-8831,http://nagan.suncheon.go.kr,연중무휴,"매일 2~4월, 10월 09:00~18:00, 5~9월 08:30~18:30, 1, 11, 12월 09:00~17:30",Y,4000원,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
낙조전망대,반려동물업,반려동반여행,여행지,경기도,안산시 단원구,대부북동,,23 번지,,,37.28823974,126.534543,15645.0,,경기도 안산시 단원구 대부북동 산 23,1899-1720,https://www.ansan.go.kr/tourinfo/common/cntnts/selectContents.do?cntnts_id=C0001971,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
난지천공원,반려동물업,반려동반여행,여행지,서울특별시,마포구,상암동,,1538 번지,월드컵로,365 번,37.57246315,126.887048,3900.0,서울특별시 마포구 월드컵로 365,서울특별시 마포구 상암동 1538,02-2236-9134,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
남경수목원,반려동물업,반려동반여행,여행지,경기도,양주시,장흥면,삼하리,386-3 번지,일영로501번길,156 번,37.68740645,126.916654,11525.0,경기도 양주시 장흥면 일영로501번길 156,경기도 양주시 장흥면 삼하리 386-3,,http://www.nkgarden.co.kr/,연중무휴,"월~금 10:00~17:00, 토~일 10:00~18:00",Y,12000원,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
남대천연어생태공원,반려동물업,반려동반여행,여행지,강원도,양양군,양양읍,조산리,86-7 번지,,,38.09814199,128.639772,25016.0,,강원도 양양군 양양읍 조산리 86-7,033-670-2518,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
남령근린공원,반려동물업,반려동반여행,여행지,충청남도,부여군,부여읍,동남리,440-2 번지,,,36.2807207,126.915934,33169.0,,충청남도 부여군 부여읍 동남리 440-2,,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
남망산조각공원,반려동물업,반려동반여행,여행지,경상남도,통영시,동호동,,230-1 번지,남망공원길,29 번,34.84232394,128.428631,53051.0,경상남도 통영시 남망공원길 29,경상남도 통영시 동호동 230-1,055-650-1410,https://www.utour.go.kr/01198/01963/01212.web?amode=view&idx=1682&,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
남산골한옥마을,반려동물업,반려동반여행,여행지,서울특별시,중구,필동,,84-1 번지,퇴계로34길,28 번,37.55954227,126.994739,4626.0,서울특별시 중구 퇴계로34길 28,서울특별시 중구 필동2가 84-1,02-2261-0517,https://www.hanokmaeul.or.kr/,매주 월요일,화~일 09:00~20:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
남산공원,반려동물업,반려동반여행,여행지,서울특별시,중구,,,,,,37.55558921,126.981204,4529.0,,서울특별시 중구 회현동1가,02-3783-5900,http://seoulnamsan.alltheway.kr/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
남산야외식물원,반려동물업,반려동반여행,여행지,서울특별시,용산구,이태원동,,259-16 번지,,,37.54297029,126.994588,4344.0,,서울특별시 용산구 이태원동 259-16,02-798-3771,https://parks.seoul.go.kr/template/sub/namsan.do,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
남선공원,반려동물업,반려동반여행,여행지,대전광역시,서구,탄방동,,1084 번지,남선로,66 번,36.34623037,127.397991,35254.0,대전광역시 서구 남선로 66,대전광역시 서구 탄방동 1084,042-488-5605,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7ce6d7c9-1136-43c1-b82b-8ef0e858918c&big_category=A02&mid_category=A0202&big_area=3,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
남애3리해수욕장,반려동물업,반려동반여행,여행지,강원도,양양군,,남애리,,,,37.94002076,128.777593,,,강원도 양양군 현남면 남애리,033-670-2397,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
남애항,반려동물업,반려동반여행,여행지,강원도,양양군,현남면,남애리,2-2 번지,매바위길,138 번,37.94492468,128.787131,25057.0,강원도 양양군 현남면 매바위길 138,강원도 양양군 현남면 남애리 2-2,033-530-2474,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
남양펜션,반려동물업,반려동반여행,펜션,강원도,춘천시,사북면,지암리,566-1 번지,화악지암길,126 번,37.96773421,127.581907,24200.0,강원도 춘천시 사북면 화악지암길 126,강원도 춘천시 사북면 지암리 566-1,033-241-0991,http://www.namyangps.com/,연중무휴,매일 14:00~12:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,애견 동반 펜션,없음,2022-11-30
남원 하늘정원 빌리지,반려동물업,반려동반여행,펜션,전라북도,남원시,산내면,덕동리,323 번지,산내달궁길,16-10 번,35.35095991,127.552608,55805.0,전라북도 남원시 산내면 산내달궁길 16-10,전라북도 남원시 산내면 덕동리 323,0507-1312-3013,http://www.girisanjang.net/html/index.html,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 미만,객실당 최대 3마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
남이섬,반려동물업,반려동반여행,여행지,강원도,춘천시,남산면,방하리,197 번지,남이섬길,1 번,37.79012495,127.526129,24464.0,강원도 춘천시 남산면 남이섬길 1,강원도 춘천시 남산면 방하리 197,031-580-8114,https://namisum.com/,연중무휴,매일 08:00~21:00,Y,16000원,Y,해당없음,소형/중형,목줄,N,Y,관광지,없음,2022-11-30
남제골 벽화마을,반려동물업,반려동반여행,여행지,전라남도,순천시,덕월동,,483-8 번지,,,34.93557573,127.4888,57997.0,,전라남도 순천시 덕월동 483-8,,https://www.suncheon.go.kr/tour/tourist/0015/0003/,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
남해 바다의숲펜션,반려동물업,반려동반여행,펜션,경상남도,남해군,미조면,송정리,407-5 번지,동부대로,83 번,34.73424344,128.03662,52441.0,경상남도 남해군 미조면 동부대로 83,경상남도 남해군 미조면 송정리 407-5,055-862-6393,http://www.ohmypension.com,연중무휴,매일 15:00~12:00,Y,변동,Y,해당없음,소형,"목줄, 반려동물용품 지참",Y,Y,"애견 동반 펜션, 사전문의 필수","10,000원",2022-11-30
남해 상상양떼목장 편백숲,반려동물업,반려동반여행,여행지,경상남도,남해군,설천면,문의리,187-1 번지,설천로775번길,364 번,34.93570763,127.890579,52401.0,경상남도 남해군 설천면 설천로775번길 364,경상남도 남해군 설천면 문의리 산 187-1,055-862-5300,http://www.yangttefarm.com/,연중무휴,"매일 3~11월 09:00~18:00, 12~1월 09:00~17:00",Y,없음,Y,해당없음,소형/중형,"목줄, 케이지",N,Y,관광지,없음,2022-11-30
남해 요기가펜션,반려동물업,반려동반여행,펜션,경상남도,사천시,서포면,다평리,1273-22 번지,제비길,164 번,34.97696032,127.951045,52544.0,경상남도 사천시 서포면 제비길 164,경상남도 사천시 서포면 다평리 1273-22,,http://yogiga.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,15kg 미만,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022-11-30
남해독일마을,반려동물업,반려동반여행,여행지,경상남도,남해군,삼동면,물건리,1074-2 번지,,,34.79835386,128.041609,52447.0,,경상남도 남해군 삼동면 물건리 1074-2,055-867-8897,http://남해독일마을.com/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,목줄,N,Y,"관광지, 파독광부 전시관 입장료 1,000원",없음,2022-11-30
남해양떼목장,반려동물업,반려동반여행,여행지,경상남도,남해군,삼동면,봉화리,1311 번지,금암로,179-45 번,34.79059003,128.024228,52448.0,경상남도 남해군 삼동면 금암로 179-45,경상남도 남해군 삼동면 봉화리 1311,,https://www.nh-yang.com/,연중무휴,"월~금 10:00~17:00, 토~일 10:00~17:30",Y,5000원,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
낭도항,반려동물업,반려동반여행,여행지,전라남도,여수시,,낭도리,,,,34.59827716,127.546593,59781.0,,전라남도 여수시 화정면 낭도리,061-659-5696,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
낮은굴뚝펜션,반려동물업,반려동반여행,펜션,충청남도,태안군,이원면,당산리,531-1 번지,사관로,245-63 번,36.86833938,126.294464,32102.0,충청남도 태안군 이원면 사관로 245-63,충청남도 태안군 이원면 당산리 531-1,041-673-4363,http://lowstack.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,"중성화 수술 필수, 생리 중인 경우 입실 불가",Y,Y,애견 동반 펜션,"10,000원",2022-11-30
내덕생활체육공원,반려동물업,반려동반여행,여행지,충청북도,청주시 청원구,내덕동,,61-7 번지,충청대로62번길,1-18 번,36.66275816,127.494817,28495.0,충청북도 청주시 청원구 충청대로62번길 1-18,충청북도 청주시 청원구 내덕동 산 61-7,043-215-3290,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
내장산문화광장,반려동물업,반려동반여행,여행지,전라북도,정읍시,부전동,,1004 번지,내장산로,390 번,35.52559816,126.896148,56198.0,전라북도 정읍시 내장산로 390,전라북도 정읍시 부전동 1004,063-532-5949,http://naejangsan.invil.org/index.html?menuno=573432&lnb=1,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
내초공원,반려동물업,반려동반여행,여행지,전라북도,군산시,내초동,,231 번지,동장산로,32 번,35.95060166,126.589642,54158.0,전라북도 군산시 동장산로 32,전라북도 군산시 내초동 231,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
냉천,반려동물업,반려동반여행,여행지,경상북도,포항시 남구,,문덕리,,,,35.94497591,129.393754,37886.0,,경상북도 포항시 남구 오천읍 문덕리,,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
너울공원,반려동물업,반려동반여행,여행지,부산광역시,강서구,명지동,,3439 번지,명지국제6로220번길,30 번,35.09581412,128.925039,46726.0,부산광역시 강서구 명지국제6로220번길 30,부산광역시 강서구 명지동 3439,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
노루목홍천강,반려동물업,반려동반여행,펜션,강원도,홍천군,북방면,장항리,98-4 번지,노루목길,66 번,37.69241407,127.793394,25116.0,강원도 홍천군 북방면 노루목길 66,강원도 홍천군 북방면 장항리 98-4,033-435-9030,http://www.hongriver.co.kr,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수, 추가인원 10,000원",없음,2022-11-30
노리매,반려동물업,반려동반여행,여행지,제주특별자치도,서귀포시,대정읍,구억리,654-1 번지,중산간서로,2260-15 번,33.28254416,126.287344,63519.0,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 654-1,064-792-8211,www.norimae.com,연중무휴,매일 09:00~18:00,Y,9000원,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
노블렛유스호스텔,반려동물업,반려동반여행,펜션,제주특별자치도,서귀포시,남원읍,수망리,974-1 번지,남조로,861-83 번,33.34314033,126.696041,63615.0,제주특별자치도 서귀포시 남원읍 남조로 861-83,제주특별자치도 서귀포시 남원읍 수망리 974-1,064-764-8900,정보없음,연중무휴,매일 14:00~11:00,Y,변동,Y,해당없음,5kg 이하,객실당 최대 2마리,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
노비오스,반려동물업,반려동반여행,펜션,경상북도,경주시,진현동,,449 번지,진티길,37-4 번,35.78207529,129.330243,38127.0,경상북도 경주시 진티길 37-4,경상북도 경주시 진현동 449,0507-1327-4623,http://www.noviospen.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 이하,제한사항 없음,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
노을공원,반려동물업,반려동반여행,여행지,전라남도,목포시,산정동,,1827 번지,청호로219번길,34-22 번,34.80895733,126.365765,58623.0,전라남도 목포시 청호로219번길 34-22,전라남도 목포시 산정동 1827,061-339-2616,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=84e62d40-c5d6-4414-9e44-3db0759d2b9a&big_category=undefined&mid_category=undefined&big_area=undefined&referrer=https%3A%2F%2Fterms.naver.com%2Fentry.naver%3FdocId%3D6555621%26cid%3D42856%26categoryId%3D42856,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
노을앤바다 펜션,반려동물업,반려동반여행,펜션,인천광역시,옹진군,영흥면,내리,1329-30 번지,영흥서로,465-22 번,37.27937502,126.457053,23117.0,인천광역시 옹진군 영흥면 영흥서로 465-22,인천광역시 옹진군 영흥면 내리 1329-30,0507-1336-6521,https://page.yapen.co.kr/22207,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수",없음,2022-11-30
노이하우스,반려동물업,반려동반여행,펜션,경상남도,남해군,삼동면,물건리,1133 번지,독일로,64-11 번,34.79957193,128.040885,52447.0,경상남도 남해군 삼동면 독일로 64-11,경상남도 남해군 삼동면 물건리 1133,,http://www.germanvillage.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","30,000원",2022-11-30
노팅힐 펜션,반려동물업,반려동반여행,펜션,경기도,가평군,북면,백둔리,342 번지,백둔로,379 번,37.90223274,127.466918,12406.0,경기도 가평군 북면 백둔로 379,경기도 가평군 북면 백둔리 342,031-581-1212,http://nottinghillps2.modoo.at/,연중무휴,매일 15:00~11:30,Y,변동,Y,해당없음,모두 가능,맹견류 입장 불가,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
녹산수문공원,반려동물업,반려동반여행,여행지,부산광역시,강서구,녹산동,,5-46 번지,,,35.12275847,128.897391,46728.0,,부산광역시 강서구 녹산동 5-46,051-850-6000,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
녹음광장,반려동물업,반려동반여행,여행지,부산광역시,연제구,연산동,,1000 번지,중앙대로,1001 번,35.17992599,129.075095,47545.0,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
녹차미로공원,반려동물업,반려동반여행,여행지,제주특별자치도,서귀포시,색달동,,52 번지,산록남로,1246 번,33.29384114,126.421482,63549.0,제주특별자치도 서귀포시 산록남로 1246,제주특별자치도 서귀포시 색달동 산 52,064-738-4405,http://www.visitjeju.net,연중무휴,매일 09:00~19:00,Y,7000원,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
놀개나개,반려동물업,반려동반여행,펜션,인천광역시,중구,운남동,,412-2 번지,운중로14번길,28 번,37.49179264,126.536835,22359.0,인천광역시 중구 운중로14번길 28,인천광역시 중구 운남동 412-2,032-752-9944,https://www.instagram.com/nolgaenagae_official/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수, 애견운동장, 수영장",없음,2022-11-30
놀러와펜션,반려동물업,반려동반여행,펜션,충청남도,태안군,고남면,고남리,616 번지,안면대로,4269-7 번,36.42147721,126.41119,32172.0,충청남도 태안군 고남면 안면대로 4269-7,충청남도 태안군 고남면 고남리 616,,http://www.comeplay.co.kr,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형/중형,제한사항 없음,Y,Y,관광지,"10,000원",2022-11-30
놀러와펜션,반려동물업,반려동반여행,펜션,경상북도,울진군,죽변면,봉평리,202 번지,울진북로,1103-17 번,37.03692693,129.412767,36317.0,경상북도 울진군 죽변면 울진북로 1103-17,경상북도 울진군 죽변면 봉평리 202,,https://m.blog.naver.com/songgs0570,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형/중형,제한사항 없음,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
놀멍애견펜션,반려동물업,반려동반여행,펜션,경기도,포천시,화현면,명덕리,106-19 번지,봉화로,173-23 번,37.86438343,127.277315,11125.0,경기도 포천시 화현면 봉화로 173-23,경기도 포천시 화현면 명덕리 106-19,,http://nolmung.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,13kg 미만,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","10,000원",2022-11-30
농다리,반려동물업,반려동반여행,여행지,충청북도,진천군,,구산동리,,,,36.83621374,127.488578,27863.0,,충청북도 진천군 문백면 구산동리,043-539-3622,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
농띠펜션,반려동물업,반려동반여행,펜션,제주특별자치도,제주시,구좌읍,김녕리,4001 번지,김녕항3길,18-16 번,33.55793081,126.746508,63357.0,제주특별자치도 제주시 구좌읍 김녕항3길 18-16,제주특별자치도 제주시 구좌읍 김녕리 4001,,https://nongttipension.modoo.at,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,"애견 동반 펜션, 독채펜션",없음,2022-11-30
뉴월드빌라,반려동물업,반려동반여행,펜션,강원도,평창군,대관령면,횡계리,276-13 번지,송천길,12 번,37.66938815,128.711978,25343.0,강원도 평창군 대관령면 송천길 12,강원도 평창군 대관령면 횡계리 276-13,033-335-6282,정보없음,정보없음,정보없음,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
뉴호수장,반려동물업,반려동반여행,펜션,강원도,강릉시,강문동,,4-5 번지,창해로,491 번,37.80377124,128.908777,25460.0,강원도 강릉시 창해로 491,강원도 강릉시 강문동 산 4-5,033-644-1201,정보없음,연중무휴,매일 16:00~11:00,Y,변동,Y,해당없음,소형,제한사항 없음,Y,Y,애견 동반 펜션,없음,2022-11-30
